,t,x,y,z,regime,prob
8995,89.95,7.728258381499511,12.848102020601004,46.81060491537174,1.0,2.3576744284583506e-90
8996,89.96000000000001,8.240242745409661,13.57790894554717,47.35297216684419,1.0,1.5243154109783698e-101
8997,89.97,8.774009365423412,14.377354602424441,48.02775546954591,1.0,1.8062425880636544e-113
8998,89.98,9.334343889123515,15.00033435330922,48.77553279512744,1.0,4.044172359780054e-127
8999,89.99,9.900942935542085,15.538101822937538,49.62546482123632,1.0,1.7861236069446088e-139
9000,90.0,10.464658824281631,16.452433667120584,50.70527013319108,1.0,2.4350964156618573e-151
9001,90.01,11.063436308565526,17.027589371484176,51.86871441795983,1.0,4.9844818707655775e-169
9002,90.02,11.659851614857391,17.715779602556715,53.212736494926084,1.0,5.451799294971945e-183
9003,90.03,12.265444413627323,18.076859518654857,54.654723166150525,1.0,2.9297963887354363e-199
9004,90.04,12.846585924130077,18.338361616431836,56.2213377253228,1.0,3.644259884059754e-211
9005,90.05,13.395763493360253,18.401307140978243,57.881569972065456,1.0,1.2249418881514636e-221
9006,90.06,13.896317858122051,18.279887331682048,59.612267423883196,1.0,6.682256152043889e-229
9007,90.07000000000001,14.334674805478052,17.674935217123135,61.324718454166636,1.0,6.703554672977997e-233
9008,90.08,14.66870084664256,16.974191666571407,63.01411258521416,1.0,7.910414582277413e-229
9009,90.09,14.899249928635445,15.86019829509124,64.58556624992944,1.0,1.7203748976129625e-222
9010,90.10000000000001,14.995344765281025,14.568179499690148,65.99897261722346,1.0,1.4470874873414193e-209
9011,90.11,14.952628238721937,12.898229555708777,67.1656623470353,1.0,9.701535175518454e-194
9012,90.12,14.747188370420622,11.472602639207867,68.1162528584465,1.0,2.9007995504589753e-173
9013,90.13,14.419729797299347,9.766671768153426,68.77361291536182,1.0,1.5902366627858947e-155
9014,90.14,13.954423994384754,8.098651756862566,69.14473602357806,1.0,1.2165991856311111e-135
9015,90.15,13.368846770632535,6.451722558056178,69.22880984121036,1.0,5.7666435576297494e-117
9016,90.16,12.6771343493749,5.008941878918268,69.06961594102725,1.0,1.3087422571757982e-99
9017,90.17,11.910315102329236,3.5883642171097394,68.66952459423362,1.0,1.3258191822869017e-84
9018,90.18,11.078120013807286,2.105795835276505,68.02620330165213,1.0,4.1201147670874506e-71
9019,90.19,10.180887595954207,1.1106068241076335,67.27820888732491,1.0,3.8879824601276595e-59
9020,90.2,9.27385951876955,0.35687369197248053,66.4499788628644,1.0,1.8356976992491358e-49
9021,90.21000000000001,8.382160936089843,-0.41720304953609766,65.51473018498265,1.0,2.5574739075965843e-41
9022,90.22,7.5022245375272485,-1.1066415262469658,64.51230953894016,1.0,1.6791010968204811e-34
9023,90.23,6.641337931149827,-1.5163834199181565,63.532931742803285,1.0,6.904477599894747e-29
9024,90.24,5.825565796043028,-1.8849236687513697,62.53137735569506,1.0,4.57528902890451e-24
9025,90.25,5.054516849563588,-2.1141138186315307,61.56125507255539,1.0,3.4114871615860254e-20
9026,90.26,4.337653782744076,-2.2914280410723484,60.602922483309115,1.0,6.0021262374851e-17
9027,90.27,3.6747456003624337,-2.3416760633786486,59.711784534806256,1.0,2.3077609765527525e-14
9028,90.28,3.0731034339883254,-2.371930505477993,58.84002124166378,1.0,3.7060715528797565e-12
9029,90.29,2.5286000400416935,-2.3791843680968294,57.99348922786834,1.0,1.8629645316206824e-10
9030,90.3,2.0378215992278412,-2.362526742418184,57.179044469919795,1.0,3.801707056748931e-09
9031,90.31,1.5977867650632387,-2.3257742379316446,56.40132066750654,1.0,3.86953921632052e-08
9032,90.32000000000001,1.2054306647637505,-2.264921195739655,55.68015322503116,1.0,2.27694503167509e-07
9033,90.33,0.8583954787134099,-2.2114389780440478,54.97430880307979,1.0,9.04520560309743e-07
9034,90.34,0.5514120330376642,-2.1686924605697384,54.27266909632559,1.0,2.35245264129425e-06
9035,90.35000000000001,0.2794015836769239,-2.127301713235072,53.60925162353186,1.0,4.373938768480196e-06
9036,90.36,0.03873125398572433,-2.096841462976776,52.944243727985956,1.0,6.5512156736202395e-06
9037,90.37,-0.1748260177105257,-2.074299889129399,52.304997951658855,1.0,8.045125040037127e-06
9038,90.38,-0.364773404852413,-2.0642419331170045,51.72486647519555,1.0,8.586646555465656e-06
9039,90.39,-0.5347202576788722,-2.073292958981128,51.202736588209646,1.0,8.081032992167173e-06
9040,90.4,-0.6885775278090978,-2.0763224441575923,50.585581625070425,1.0,6.68179130689168e-06
9041,90.41,-0.8273520194439472,-2.1089826422927374,50.0600384330243,1.0,5.4672890740613295e-06
9042,90.42,-0.9555150817288263,-2.1564396972290982,49.55169056450217,1.0,3.864756484142884e-06
9043,90.43,-1.0756075432788534,-2.2130750072315415,49.04380393544243,1.0,2.512196316437929e-06
9044,90.44,-1.1893542896741223,-2.282497001482476,48.547855613551256,1.0,1.5371755284426988e-06
9045,90.45,-1.2986685608549577,-2.3888115605028797,48.117824194398295,1.0,8.697090332647351e-07
9046,90.46000000000001,-1.40768286081975,-2.475713086660439,47.629609174952606,1.0,4.033216447500208e-07
9047,90.47,-1.5144858834038188,-2.6108349551697865,47.22060657617187,1.0,1.967922705629197e-07
9048,90.48,-1.6241207905804156,-2.7285280889951857,46.76662079984527,1.0,7.245227913136671e-08
9049,90.49,-1.7345615204218925,-2.8473931614841734,46.304171699185154,1.0,2.740157358217248e-08
9050,90.5,-1.8458446845281207,-3.017298506364032,45.91182239357059,1.0,9.748000206207189e-09
9051,90.51,-1.9629900667117117,-3.253739963242518,45.60597943618142,1.0,2.4165958550140174e-09
9052,90.52,-2.0920650563647922,-3.454660187643434,45.24027527246536,1.0,3.512060839793718e-10
9053,90.53,-2.2283245694926563,-3.6991245805510355,44.92147695720689,1.0,5.40706981160363e-11
9054,90.54,-2.3754045705984943,-3.9402624448321055,44.590027996382595,1.0,5.222264177096489e-12
9055,90.55,-2.5318903580218555,-4.240614962103396,44.318327332523786,1.0,4.2056651565765465e-13
9056,90.56,-2.7027628184300094,-4.524757558984701,44.02290946972996,1.0,1.6721773561995654e-14
9057,90.57000000000001,-2.8849622924854788,-4.831908414661729,43.74617844803002,1.0,5.665532238032171e-16
9058,90.58,-3.079656904703104,-5.187182543980714,43.5119184555628,1.0,1.1562419416263162e-17
9059,90.59,-3.290409468630865,-5.570846840419239,43.30208258373102,1.0,1.0301656562847506e-19
9060,90.60000000000001,-3.5184532058097027,-6.005972639597164,43.13646579632876,1.0,4.339124190105817e-22
9061,90.61,-3.767205149188449,-6.557418120377056,43.06454624752442,1.0,5.962641003524531e-25
9062,90.62,-4.046226446307309,-7.040292458176746,42.95309280542121,1.0,9.541817215636368e-29
9063,90.63,-4.345633047494253,-7.620730087674171,42.920189246324284,1.0,1.5181864834590666e-32
9064,90.64,-4.673142751512245,-8.3202676255717,42.9806879922728,1.0,2.4799318378264434e-37
9065,90.65,-5.0378552389181905,-8.956991368000333,43.03361374945252,1.0,1.856800662702048e-43
9066,90.66,-5.429768851826405,-9.580975841882314,43.11584395575813,1.0,8.976080557763449e-50
9067,90.67,-5.844889550831996,-10.313791700990945,43.29631406484319,1.0,1.4055680957838335e-56
9068,90.68,-6.291779765847891,-11.050496344548751,43.53560063916126,1.0,6.075946106094117e-65
9069,90.69,-6.767651423717977,-11.793070979548299,43.845722389102576,1.0,3.915135500355027e-74
9070,90.7,-7.270193379301009,-12.541303080053819,44.238414268025906,1.0,3.364263883063158e-84
9071,90.71000000000001,-7.79730434937629,-13.497712588188268,44.800287370816186,1.0,3.59467777118211e-95
9072,90.72,-8.367345173257489,-14.496586986262496,45.49380913389126,1.0,1.9534848599403293e-109
9073,90.73,-8.98026935455799,-15.415108662880776,46.29900365991392,1.0,1.3963359679111763e-125
9074,90.74,-9.623753285390269,-16.284268081250033,47.24046920617876,1.0,3.937946054731117e-142
9075,90.75,-10.289804764976244,-17.299834539647545,48.387435750371054,1.0,2.695485986843086e-159
9076,90.76,-10.990807742443375,-18.180671510106208,49.69393703996046,1.0,7.211640317745316e-180
9077,90.77,-11.709794119209658,-18.93457098609042,51.172435652693736,1.0,6.406145856755274e-200
9078,90.78,-12.432271805897734,-19.538924959683527,52.823646433216624,1.0,3.6838660164692644e-219
9079,90.79,-13.142937121276313,-19.937914633556993,54.63352624778467,1.0,7.822104521571426e-237
9080,90.8,-13.822434872504381,-20.150451808007926,56.59078099437311,1.0,1.4434740963857608e-251
9081,90.81,-14.455236566054735,-19.944078736056703,58.62836469825018,1.0,3.1742425360161354e-263
9082,90.82000000000001,-15.004120783054931,-19.77801238136685,60.77072606373636,1.0,2.1082435646592277e-267
